borrow_id,date,season,year,month,hour,is_holiday,weekday,is_workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_users,suhu
65,2011-01-03,spring,0,1,19,Tidak,Senin,Ya,Clear/Few clouds,1.4,0.2576,0.47,0.0,8,102,110,dingin
66,2011-01-03,spring,0,1,20,Tidak,Senin,Ya,Clear/Few clouds,1.4,0.2273,0.47,0.1045,3,49,52,dingin
67,2011-01-03,spring,0,1,21,Tidak,Senin,Ya,Clear/Few clouds,0.46,0.197,0.64,0.1343,3,49,52,dingin
68,2011-01-03,spring,0,1,22,Tidak,Senin,Ya,Clear/Few clouds,-1.42,0.1515,0.69,0.1343,0,20,20,dingin
69,2011-01-03,spring,0,1,23,Tidak,Senin,Ya,Clear/Few clouds,0.46,0.2121,0.55,0.1045,1,11,12,dingin
70,2011-01-04,spring,0,1,0,Tidak,Selasa,Ya,Clear/Few clouds,-0.48,0.1818,0.55,0.1045,0,5,5,dingin
71,2011-01-04,spring,0,1,1,Tidak,Selasa,Ya,Clear/Few clouds,-0.48,0.1818,0.59,0.1045,0,2,2,dingin
72,2011-01-04,spring,0,1,2,Tidak,Selasa,Ya,Clear/Few clouds,-1.42,0.1515,0.63,0.1343,0,1,1,dingin
73,2011-01-04,spring,0,1,4,Tidak,Selasa,Ya,Clear/Few clouds,-1.42,0.1818,0.63,0.0896,0,2,2,dingin
74,2011-01-04,spring,0,1,5,Tidak,Selasa,Ya,Clear/Few clouds,-2.36,0.1515,0.68,0.1045,0,4,4,dingin
75,2011-01-04,spring,0,1,6,Tidak,Selasa,Ya,Clear/Few clouds,-2.36,0.1515,0.74,0.1045,0,36,36,dingin
76,2011-01-04,spring,0,1,7,Tidak,Selasa,Ya,Clear/Few clouds,-2.36,0.1515,0.74,0.1343,2,92,94,dingin
77,2011-01-04,spring,0,1,8,Tidak,Selasa,Ya,Clear/Few clouds,-1.42,0.1515,0.69,0.1642,2,177,179,dingin
78,2011-01-04,spring,0,1,9,Tidak,Selasa,Ya,Clear/Few clouds,-0.48,0.1515,0.64,0.2239,2,98,100,dingin
79,2011-01-04,spring,0,1,10,Tidak,Selasa,Ya,Mist + Cloudy,-0.48,0.1364,0.69,0.3284,5,37,42,dingin
80,2011-01-04,spring,0,1,11,Tidak,Selasa,Ya,Clear/Few clouds,2.34,0.2121,0.51,0.2985,7,50,57,dingin
81,2011-01-04,spring,0,1,12,Tidak,Selasa,Ya,Clear/Few clouds,2.34,0.2273,0.51,0.1642,12,66,78,dingin
82,2011-01-04,spring,0,1,13,Tidak,Selasa,Ya,Clear/Few clouds,3.28,0.2273,0.56,0.194,18,79,97,dingin
83,2011-01-04,spring,0,1,14,Tidak,Selasa,Ya,Clear/Few clouds,4.22,0.2576,0.52,0.2239,9,54,63,dingin
84,2011-01-04,spring,0,1,15,Tidak,Selasa,Ya,Clear/Few clouds,5.16,0.2727,0.52,0.2537,17,48,65,dingin
85,2011-01-04,spring,0,1,16,Tidak,Selasa,Ya,Clear/Few clouds,6.1,0.2879,0.49,0.2537,15,68,83,dingin
86,2011-01-04,spring,0,1,17,Tidak,Selasa,Ya,Clear/Few clouds,5.16,0.2727,0.48,0.2239,10,202,212,dingin
87,2011-01-04,spring,0,1,18,Tidak,Selasa,Ya,Clear/Few clouds,4.22,0.2576,0.48,0.194,3,179,182,dingin
88,2011-01-04,spring,0,1,19,Tidak,Selasa,Ya,Clear/Few clouds,3.28,0.2576,0.48,0.1045,2,110,112,dingin
89,2011-01-04,spring,0,1,20,Tidak,Selasa,Ya,Clear/Few clouds,3.28,0.2576,0.48,0.1045,1,53,54,dingin
90,2011-01-04,spring,0,1,21,Tidak,Selasa,Ya,Clear/Few clouds,2.34,0.2727,0.64,0.0,0,48,48,dingin
91,2011-01-04,spring,0,1,22,Tidak,Selasa,Ya,Clear/Few clouds,2.34,0.2576,0.64,0.0896,1,34,35,dingin
92,2011-01-04,spring,0,1,23,Tidak,Selasa,Ya,Clear/Few clouds,1.4,0.2273,0.69,0.0896,2,9,11,dingin
93,2011-01-05,spring,0,1,0,Tidak,Rabu,Ya,Clear/Few clouds,1.4,0.2576,0.64,0.0,0,6,6,dingin
94,2011-01-05,spring,0,1,1,Tidak,Rabu,Ya,Clear/Few clouds,-0.48,0.197,0.74,0.0896,0,6,6,dingin
95,2011-01-05,spring,0,1,2,Tidak,Rabu,Ya,Clear/Few clouds,-0.48,0.197,0.74,0.0896,0,2,2,dingin
96,2011-01-05,spring,0,1,4,Tidak,Rabu,Ya,Clear/Few clouds,3.28,0.2273,0.48,0.2239,0,2,2,dingin
97,2011-01-05,spring,0,1,5,Tidak,Rabu,Ya,Clear/Few clouds,2.34,0.2273,0.47,0.1642,0,3,3,dingin
98,2011-01-05,spring,0,1,6,Tidak,Rabu,Ya,Clear/Few clouds,1.4,0.197,0.47,0.2239,0,33,33,dingin
99,2011-01-05,spring,0,1,7,Tidak,Rabu,Ya,Clear/Few clouds,0.46,0.1818,0.43,0.194,1,87,88,dingin
100,2011-01-05,spring,0,1,8,Tidak,Rabu,Ya,Clear/Few clouds,1.4,0.1818,0.4,0.2985,3,192,195,dingin
101,2011-01-05,spring,0,1,9,Tidak,Rabu,Ya,Clear/Few clouds,2.34,0.197,0.37,0.3284,6,109,115,dingin
102,2011-01-05,spring,0,1,10,Tidak,Rabu,Ya,Clear/Few clouds,2.34,0.197,0.37,0.3284,4,53,57,dingin
103,2011-01-05,spring,0,1,11,Tidak,Rabu,Ya,Clear/Few clouds,4.22,0.2273,0.33,0.3284,12,34,46,dingin
104,2011-01-05,spring,0,1,12,Tidak,Rabu,Ya,Clear/Few clouds,4.22,0.2273,0.33,0.3284,5,74,79,dingin
105,2011-01-05,spring,0,1,13,Tidak,Rabu,Ya,Clear/Few clouds,5.16,0.2576,0.3,0.2985,6,65,71,dingin
106,2011-01-05,spring,0,1,14,Tidak,Rabu,Ya,Clear/Few clouds,6.1,0.2879,0.28,0.194,10,52,62,dingin
107,2011-01-05,spring,0,1,15,Tidak,Rabu,Ya,Clear/Few clouds,6.1,0.2879,0.28,0.194,7,55,62,dingin
108,2011-01-05,spring,0,1,16,Tidak,Rabu,Ya,Clear/Few clouds,6.1,0.3182,0.28,0.0896,4,85,89,dingin
109,2011-01-05,spring,0,1,17,Tidak,Rabu,Ya,Clear/Few clouds,3.28,0.2273,0.38,0.194,4,186,190,dingin
110,2011-01-05,spring,0,1,18,Tidak,Rabu,Ya,Clear/Few clouds,3.28,0.2424,0.38,0.1343,3,166,169,dingin
111,2011-01-05,spring,0,1,19,Tidak,Rabu,Ya,Clear/Few clouds,3.28,0.2576,0.38,0.1045,5,127,132,dingin
112,2011-01-05,spring,0,1,20,Tidak,Rabu,Ya,Clear/Few clouds,2.34,0.2273,0.47,0.1642,7,82,89,dingin
113,2011-01-05,spring,0,1,21,Tidak,Rabu,Ya,Clear/Few clouds,1.4,0.197,0.51,0.194,3,40,43,dingin
114,2011-01-05,spring,0,1,22,Tidak,Rabu,Ya,Clear/Few clouds,0.46,0.197,0.55,0.1343,1,41,42,dingin
115,2011-01-05,spring,0,1,23,Tidak,Rabu,Ya,Clear/Few clouds,1.4,0.2576,0.47,0.0,1,18,19,dingin
116,2011-01-06,spring,0,1,0,Tidak,Kamis,Ya,Clear/Few clouds,0.46,0.2424,0.55,0.0,0,11,11,dingin
117,2011-01-06,spring,0,1,1,Tidak,Kamis,Ya,Clear/Few clouds,-0.48,0.2273,0.64,0.0,0,4,4,dingin
118,2011-01-06,spring,0,1,2,Tidak,Kamis,Ya,Clear/Few clouds,-0.48,0.2273,0.64,0.0,0,2,2,dingin
119,2011-01-06,spring,0,1,4,Tidak,Kamis,Ya,Mist + Cloudy,-0.48,0.197,0.64,0.0896,0,1,1,dingin
120,2011-01-06,spring,0,1,5,Tidak,Kamis,Ya,Mist + Cloudy,-1.42,0.1818,0.69,0.0896,0,4,4,dingin
121,2011-01-06,spring,0,1,6,Tidak,Kamis,Ya,Mist + Cloudy,-1.42,0.1667,0.63,0.1045,0,36,36,dingin
122,2011-01-06,spring,0,1,7,Tidak,Kamis,Ya,Mist + Cloudy,-0.48,0.2273,0.59,0.0,0,95,95,dingin
123,2011-01-06,spring,0,1,8,Tidak,Kamis,Ya,Clear/Few clouds,-0.48,0.2273,0.59,0.0,3,216,219,dingin
124,2011-01-06,spring,0,1,9,Tidak,Kamis,Ya,Mist + Cloudy,0.46,0.2424,0.51,0.0,6,116,122,dingin
125,2011-01-06,spring,0,1,10,Tidak,Kamis,Ya,Clear/Few clouds,1.4,0.2576,0.47,0.0,3,42,45,dingin
126,2011-01-06,spring,0,1,11,Tidak,Kamis,Ya,Clear/Few clouds,2.34,0.2576,0.44,0.0896,2,57,59,dingin
127,2011-01-06,spring,0,1,12,Tidak,Kamis,Ya,Clear/Few clouds,4.22,0.2879,0.35,0.0,6,78,84,dingin
128,2011-01-06,spring,0,1,13,Tidak,Kamis,Ya,Clear/Few clouds,4.22,0.2727,0.35,0.1045,12,55,67,dingin
129,2011-01-06,spring,0,1,14,Tidak,Kamis,Ya,Clear/Few clouds,5.16,0.2727,0.36,0.1642,11,59,70,dingin
130,2011-01-06,spring,0,1,15,Tidak,Kamis,Ya,Clear/Few clouds,5.16,0.2727,0.36,0.0,8,54,62,dingin
131,2011-01-06,spring,0,1,16,Tidak,Kamis,Ya,Clear/Few clouds,4.22,0.2576,0.38,0.1642,12,74,86,dingin
132,2011-01-06,spring,0,1,17,Tidak,Kamis,Ya,Clear/Few clouds,2.34,0.2273,0.51,0.1642,9,163,172,dingin
133,2011-01-06,spring,0,1,18,Tidak,Kamis,Ya,Clear/Few clouds,2.34,0.2273,0.51,0.1343,5,158,163,dingin
134,2011-01-06,spring,0,1,19,Tidak,Kamis,Ya,Clear/Few clouds,2.34,0.2576,0.55,0.0896,3,109,112,dingin
135,2011-01-06,spring,0,1,20,Tidak,Kamis,Ya,Clear/Few clouds,1.4,0.2121,0.51,0.1642,3,66,69,dingin
136,2011-01-06,spring,0,1,21,Tidak,Kamis,Ya,Mist + Cloudy,2.34,0.2121,0.55,0.2239,0,48,48,dingin
137,2011-01-06,spring,0,1,22,Tidak,Kamis,Ya,Mist + Cloudy,2.34,0.2121,0.51,0.2836,1,51,52,dingin
138,2011-01-06,spring,0,1,23,Tidak,Kamis,Ya,Mist + Cloudy,1.4,0.197,0.59,0.194,4,19,23,dingin
139,2011-01-07,spring,0,1,0,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.64,0.194,4,13,17,dingin
140,2011-01-07,spring,0,1,1,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.69,0.2239,2,5,7,dingin
141,2011-01-07,spring,0,1,2,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.69,0.2239,0,1,1,dingin
142,2011-01-07,spring,0,1,4,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.2121,0.69,0.1343,0,1,1,dingin
143,2011-01-07,spring,0,1,5,Tidak,Jum'at,Ya,Light Snow/Rain,2.34,0.2727,0.55,0.0,0,5,5,dingin
144,2011-01-07,spring,0,1,6,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.2576,0.69,0.0,8,26,34,dingin
145,2011-01-07,spring,0,1,7,Tidak,Jum'at,Ya,Clear/Few clouds,1.4,0.2121,0.69,0.1343,8,76,84,dingin
146,2011-01-07,spring,0,1,8,Tidak,Jum'at,Ya,Clear/Few clouds,1.4,0.197,0.51,0.2537,20,190,210,dingin
147,2011-01-07,spring,0,1,9,Tidak,Jum'at,Ya,Clear/Few clouds,1.4,0.1818,0.47,0.2985,9,125,134,dingin
148,2011-01-07,spring,0,1,10,Tidak,Jum'at,Ya,Clear/Few clouds,2.34,0.197,0.37,0.3284,16,47,63,dingin
149,2011-01-07,spring,0,1,11,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.4,0.2239,19,48,67,dingin
150,2011-01-07,spring,0,1,12,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.37,0.2537,9,50,59,dingin
151,2011-01-07,spring,0,1,13,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.1818,0.37,0.2836,9,64,73,dingin
152,2011-01-07,spring,0,1,14,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.197,0.4,0.2537,7,43,50,dingin
153,2011-01-07,spring,0,1,15,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.2121,0.37,0.1642,9,63,72,dingin
154,2011-01-07,spring,0,1,16,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.2121,0.37,0.1642,5,82,87,dingin
155,2011-01-07,spring,0,1,17,Tidak,Jum'at,Ya,Mist + Cloudy,1.4,0.2576,0.37,0.0,9,178,187,dingin
156,2011-01-07,spring,0,1,18,Tidak,Jum'at,Ya,Clear/Few clouds,1.4,0.2273,0.4,0.0896,7,116,123,dingin
157,2011-01-07,spring,0,1,19,Tidak,Jum'at,Ya,Clear/Few clouds,-0.48,0.197,0.55,0.0896,3,92,95,dingin
158,2011-01-07,spring,0,1,20,Tidak,Jum'at,Ya,Clear/Few clouds,0.46,0.2121,0.47,0.1045,1,50,51,dingin
159,2011-01-07,spring,0,1,21,Tidak,Jum'at,Ya,Clear/Few clouds,0.46,0.197,0.47,0.1343,0,39,39,dingin
160,2011-01-07,spring,0,1,22,Tidak,Jum'at,Ya,Mist + Cloudy,0.46,0.197,0.43,0.1642,2,34,36,dingin
161,2011-01-07,spring,0,1,23,Tidak,Jum'at,Ya,Mist + Cloudy,0.46,0.197,0.51,0.1642,1,14,15,dingin
162,2011-01-08,spring,0,1,0,Tidak,Sabtu,Bukan,Mist + Cloudy,0.46,0.197,0.51,0.1642,1,24,25,dingin
163,2011-01-08,spring,0,1,1,Tidak,Sabtu,Bukan,Mist + Cloudy,0.46,0.2121,0.55,0.0896,1,15,16,dingin
164,2011-01-08,spring,0,1,2,Tidak,Sabtu,Bukan,Mist + Cloudy,0.46,0.2424,0.55,0.0,3,13,16,dingin
165,2011-01-08,spring,0,1,3,Tidak,Sabtu,Bukan,Light Snow/Rain,0.46,0.197,0.55,0.1642,0,7,7,dingin
166,2011-01-08,spring,0,1,4,Tidak,Sabtu,Bukan,Light Snow/Rain,0.46,0.197,0.55,0.1642,0,1,1,dingin
167,2011-01-08,spring,0,1,5,Tidak,Sabtu,Bukan,Mist + Cloudy,-0.48,0.1667,0.74,0.1642,0,5,5,dingin
168,2011-01-08,spring,0,1,6,Tidak,Sabtu,Bukan,Mist + Cloudy,-0.48,0.1667,0.74,0.1642,0,2,2,dingin
169,2011-01-08,spring,0,1,7,Tidak,Sabtu,Bukan,Mist + Cloudy,-0.48,0.1818,0.74,0.1045,1,8,9,dingin
170,2011-01-08,spring,0,1,8,Tidak,Sabtu,Bukan,Light Snow/Rain,-0.48,0.1818,0.93,0.1045,0,15,15,dingin
171,2011-01-08,spring,0,1,9,Tidak,Sabtu,Bukan,Light Snow/Rain,-0.48,0.1818,0.93,0.1045,0,20,20,dingin
172,2011-01-08,spring,0,1,10,Tidak,Sabtu,Bukan,Mist + Cloudy,0.46,0.197,0.8,0.1642,5,56,61,dingin
173,2011-01-08,spring,0,1,11,Tidak,Sabtu,Bukan,Mist + Cloudy,1.4,0.1818,0.69,0.3881,2,60,62,dingin
174,2011-01-08,spring,0,1,12,Tidak,Sabtu,Bukan,Mist + Cloudy,1.4,0.1818,0.59,0.3582,8,90,98,dingin
175,2011-01-08,spring,0,1,13,Tidak,Sabtu,Bukan,Clear/Few clouds,1.4,0.1818,0.44,0.3284,7,95,102,dingin
176,2011-01-08,spring,0,1,14,Tidak,Sabtu,Bukan,Clear/Few clouds,1.4,0.1667,0.32,0.4925,12,83,95,dingin
177,2011-01-08,spring,0,1,15,Tidak,Sabtu,Bukan,Clear/Few clouds,1.4,0.1667,0.32,0.4478,5,69,74,dingin
178,2011-01-08,spring,0,1,16,Tidak,Sabtu,Bukan,Clear/Few clouds,0.46,0.1364,0.29,0.4478,8,68,76,dingin
179,2011-01-08,spring,0,1,17,Tidak,Sabtu,Bukan,Clear/Few clouds,-0.48,0.1212,0.37,0.5522,5,64,69,dingin
180,2011-01-08,spring,0,1,18,Tidak,Sabtu,Bukan,Clear/Few clouds,-1.42,0.1212,0.39,0.2985,3,52,55,dingin
181,2011-01-08,spring,0,1,19,Tidak,Sabtu,Bukan,Clear/Few clouds,-1.42,0.1212,0.36,0.2537,4,26,30,dingin
182,2011-01-08,spring,0,1,20,Tidak,Sabtu,Bukan,Clear/Few clouds,-2.36,0.1212,0.36,0.2537,0,28,28,dingin
183,2011-01-08,spring,0,1,21,Tidak,Sabtu,Bukan,Clear/Few clouds,-2.36,0.1061,0.39,0.3582,2,35,37,dingin
184,2011-01-08,spring,0,1,22,Tidak,Sabtu,Bukan,Clear/Few clouds,-2.36,0.1061,0.36,0.3881,1,33,34,dingin
185,2011-01-08,spring,0,1,23,Tidak,Sabtu,Bukan,Clear/Few clouds,-3.3,0.0606,0.39,0.4478,0,22,22,dingin
186,2011-01-09,spring,0,1,0,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0758,0.42,0.3881,1,24,25,dingin
187,2011-01-09,spring,0,1,1,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0606,0.42,0.4627,0,12,12,dingin
188,2011-01-09,spring,0,1,2,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0606,0.46,0.4627,0,11,11,dingin
189,2011-01-09,spring,0,1,3,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0758,0.46,0.4179,0,4,4,dingin
190,2011-01-09,spring,0,1,4,Tidak,Minggu,Bukan,Clear/Few clouds,-4.24,0.0909,0.53,0.194,0,1,1,dingin
191,2011-01-09,spring,0,1,5,Tidak,Minggu,Bukan,Clear/Few clouds,-4.24,0.0909,0.53,0.194,0,1,1,dingin
192,2011-01-09,spring,0,1,6,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0909,0.49,0.2836,0,1,1,dingin
193,2011-01-09,spring,0,1,7,Tidak,Minggu,Bukan,Clear/Few clouds,-4.24,0.0909,0.53,0.194,1,5,6,dingin
194,2011-01-09,spring,0,1,8,Tidak,Minggu,Bukan,Clear/Few clouds,-3.3,0.0909,0.49,0.2836,0,10,10,dingin
195,2011-01-09,spring,0,1,9,Tidak,Minggu,Bukan,Clear/Few clouds,-2.36,0.0758,0.46,0.5224,0,19,19,dingin
196,2011-01-09,spring,0,1,10,Tidak,Minggu,Bukan,Clear/Few clouds,-1.42,0.1061,0.43,0.3881,0,49,49,dingin
